# CCM 곡 목록 — 한 줄에 한 곡, 칸은 " | " 로 구분합니다.
# 형식:  제목 | 템포 | 코드 | 주제
#  - 템포: 빠른곡 / 미디움 / 느린곡           (여러 개면 쉼표, 예: 빠른곡, 미디움)
#  - 코드: C D Eb E F G A Bb B               (여러 개면 쉼표, 예: G, A)
#  - 주제: 경배와 찬양 / 은혜와 사랑 / 회개와 고백 / 기도와 간구 / 축복과 교제 / 선교와 승리
#  - 값이 없으면 칸을 비워 두세요(예:  제목 | 빠른곡 |  | ).
#  - 줄을 지우면 삭제, 새 줄을 추가하면 새 곡으로 추가됩니다.
#  - '#' 로 시작하는 줄은 무시됩니다. 제목으로 기존 곡과 연결되니 제목 변경은 새 곡으로 인식됩니다.
# 총 453곡 · 가나다순

가슴마다 파도친다 | 미디움 | C | 선교와 승리
가장 높은 곳에서 | 미디움 | G, A | 경배와 찬양
갈 길을 밝히 보이시니 | 빠른곡 | G, A | 회개와 고백
갈릴리 마을 그 숲속에서 | 빠른곡 | A | 선교와 승리
감사 | 미디움 | E | 은혜와 사랑
감사와 찬양 드리며 | 빠른곡 | D | 은혜와 사랑
감사해 시험이 닥쳐올 때에 | 느린곡 | C | 은혜와 사랑
거룩하신 전능의 주 | 빠른곡 | G | 경배와 찬양
거룩하신 하나님 주께 감사드리세 | 느린곡 | F | 경배와 찬양
고요한 밤 거룩한 밤 | 느린곡 | A | 경배와 찬양
공감하시네 | 느린곡 | F | 은혜와 사랑
광대하신 주 | 빠른곡 | A | 경배와 찬양
괴로울 때 주님의 얼굴 보라 | 느린곡 | A | 회개와 고백
교회 | 미디움 | E | 선교와 승리
교회여 일어나라 | 빠른곡 | A | 선교와 승리
구주 예수 의지함이 | 미디움 | G | 회개와 고백
구주의 십자가 보혈로 | 미디움 | G | 회개와 고백
귀하신 주여 날 붙드사 | 느린곡 | C | 기도와 간구
그 날 | 느린곡 | A | 기도와 간구
그 날이 도적같이 이를 줄 | 빠른곡 | A | 선교와 승리
그 때 그 무리들이 | 느린곡 | G | 회개와 고백
그 맑고 환한 밤중에 | 느린곡 | A | 경배와 찬양
그 사랑 | 느린곡 | F | 은혜와 사랑
그 사랑 얼마나 | 느린곡 | G | 회개와 고백
그 손이 나를 붙잡네 | 느린곡 | C | 은혜와 사랑
그 어린 주 예수 | 느린곡 | G | 회개와 고백
그 피가 | 느린곡 | E | 회개와 고백
그가 내 안에 | 느린곡 | D, E | 은혜와 사랑
그가 오신 이유 | 미디움 | C | 회개와 고백
그는 주 | 빠른곡 | G | 경배와 찬양
그들이 방주 안에 있을 때 | 빠른곡 | E | 축복과 교제
그리 아니하실지라도 | 빠른곡 | G | 기도와 간구
그리스도의 계절 | 미디움 | A | 선교와 승리
그의 생각 | 느린곡 | E, F | 은혜와 사랑
급하고 강한 바람처럼 | 빠른곡 | Am, Bm | 기도와 간구
기대 | 미디움 | C, A, Bb | 기도와 간구
기뻐하며 승리의 노래 | 빠른곡 | E | 기도와 간구
기뻐하며 왕께 노래 부르리 | 빠른곡 | G | 경배와 찬양
기쁘다 구주 오셨네 | 빠른곡 | D | 경배와 찬양
기회로다 | 미디움 | C | 선교와 승리
길을 찾는 너를 위해 | 느린곡 | A | 은혜와 사랑
깊어진 삶을 주께 | 느린곡 | E | 선교와 승리
꽃들도 | 미디움, 느린곡 | E, F, G | 경배와 찬양
끝없는 사랑 | 느린곡 | F | 은혜와 사랑
나 가진 재물 없으나 | 느린곡 | A | 회개와 고백
나 무엇과도 주님을 바꾸지 않으리 | 느린곡 | D | 경배와 찬양
나 이제 주님의 새 생명 얻은 몸 | 미디움 | E | 선교와 승리
나 자유 얻었네 너 자유 얻었네 | 빠른곡 | G | 경배와 찬양
나 주님의 기쁨 되기 원하네 | 미디움 | F | 기도와 간구
나 주의 도움 받고자 | 미디움 | D | 기도와 간구
나 주의 믿음 갖고 | 빠른곡 | G | 경배와 찬양
나는 믿음으로 | 빠른곡 | E | 회개와 고백
나는 아무것도 아닙니다 | 느린곡 | D, E | 은혜와 사랑
나는 예배자입니다 | 느린곡 | F, G, A | 경배와 찬양
나는 주님께 속한 자 | 미디움 | A | 선교와 승리
나는 주님을 찬양하리라 | 빠른곡 | F | 경배와 찬양
나는 찬양하리라 | 느린곡 | A | 경배와 찬양
나를 사랑하는 주님 | 빠른곡 | A | 은혜와 사랑
나를 향한 주의 사랑 | 미디움 | E, F | 은혜와 사랑
나를 향한 주의 사랑 (위러브 Ver.) | 빠른곡 | G, A | 은혜와 사랑
나의 가는 길 | 느린곡 | G, A | 회개와 고백
나의 가장 낮은 마음 | 빠른곡 | A | 경배와 찬양
나의 간절한 소망 | 느린곡 | F | 기도와 간구
나의 등 뒤에서 | 빠른곡 | E | 회개와 고백
나의 만족과 유익을 위해 | 느린곡 | C | 회개와 고백
